X,Y,Name,Longitude,Latitude,Altitude (,Comments,Support He,Support Ty,of UL CEs,of DL CEs,Max Iub UL,Max Iub DL,Equipment,of EV-DO C,Max Backha,Max Backha_1,Alias,Operator,ID_Vtal,Name_2,icon_url
-46.6614500000291,-23.5472099988419,Claro_1015182191,-46,-23,,R CEARA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6314000000293,-23.5575999988417,Claro_683874292,-46,-23,,R BARÃO DE IGUAPE,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6613000000291,-23.5566799988416,Claro_1011649664,-46,-23,,AV PAULISTA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6547500000291,-23.5214199988428,Claro_405604327,-46,-23,,R CRUZEIRO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6517300000291,-23.5388299988422,Claro_684147564,-46,-23,,R MARTINS FRANCISCO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6312100000292,-23.546839998842,Claro_410480983,-46,-23,,PARQUE DOM PEDRO SEGUNDO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.686520000029,-23.5467999988419,Claro_696577496,-46,-23,,R APINAJÉS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6748800000291,-23.5556799988416,Claro_683893688,-46,-23,,R TEODORO SAMPAIO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.7828600000289,-23.6505999988384,Claro_692274995,-46,-23,,RUA SEBASTIAO ADVINCULA DA CUNHA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6615600000291,-23.5392599988422,Claro_696576589,-46,-23,,R CONSELHEIRO BROTERO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6696000000291,-23.5645999988414,Claro_1014316089,-46,-23,,R VITÓRIO FASANO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6697200000291,-23.5477799988419,Claro_1010112136,-46,-23,,"RUA CASSIO MARTINS VILACA, 158, PACAEMBU",50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6357800000292,-23.5608199988416,Claro_696717611,-46,-23,,R SÃO JOAQUIM,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.757940000029,-23.6557099988383,Claro_683867326,-46,-23,,R JOSÉ SERRA RIBEIRO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6059100000293,-23.5509699988419,Claro_683943979,-46,-23,,R JOÃO CAETANO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6258000000292,-23.5490999988419,Claro_690921047,-46,-23,,R DA FIGUEIRA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6713900000291,-23.5497199988418,Claro_1010112179,-46,-23,,"RUA FLAVIO QUEIROS MORAIS, 94, PACAEMBU",50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6077100000294,-23.5670599988414,Claro_1008006782,-46,-23,,R  PRESIDENTE SOARES BRANDAO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6150000000292,-23.5309999988425,Claro_674688872,-46,-23,,RUA MENDES GONÇALVES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6679000000291,-23.5359399988423,Claro_682597481,-46,-23,,R ITAPICURÚ,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6199700000292,-23.5400199988422,Claro_691281114,-46,-23,,R DA JUTA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.681280000029,-23.5461199988419,Claro_683841998,-46,-23,,R DOUTOR ARNALDO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.7323200000291,-23.6396799988388,Claro_1014689721,-46,-23,,R AFONSO VIDAL,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.680700000029,-23.5526999988417,Claro_683858882,-46,-23,,R ALVES GUIMARÃES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.683400000029,-23.5240299988426,Claro_2331691,-46,-23,,R CARLOS VICARI,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.7359000000291,-23.6493999988385,Claro_2744244,-46,-23,,R LUÍS GRASSMANN,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6289000000292,-23.5228999988428,Claro_683915703,-46,-23,,AV TIRADENTES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
